osmid,geometry,type,district
1393382335,POINT (44.5680872 40.1827219),shop,Nor-norq
1393432889,POINT (44.5708907 40.1819819),shop,Nor-norq
1393433079,POINT (44.5681113 40.1823501),shop,Nor-norq
1395220866,POINT (44.5683344 40.1823066),shop,Nor-norq
1395220895,POINT (44.5710595 40.1822206),shop,Nor-norq
1395220924,POINT (44.5684004 40.1831577),shop,Nor-norq
1395220929,POINT (44.5700832 40.1824255),shop,Nor-norq
1395220942,POINT (44.5674499 40.1827999),shop,Nor-norq
1395220944,POINT (44.5709844 40.1807123),shop,Nor-norq
1395220949,POINT (44.5672509 40.1824261),shop,Nor-norq
1395220960,POINT (44.5713772 40.1835925),shop,Nor-norq
1395220994,POINT (44.5759106 40.1813021),shop,Nor-norq
1395220999,POINT (44.5692249 40.1795566),shop,Nor-norq
1404797382,POINT (44.5252606 40.1319012),shop,Erebuni
1431927783,POINT (44.463437 40.1454758),shop,Shengavit
1431927804,POINT (44.4634806 40.1458151),shop,Shengavit
1431927814,POINT (44.4628959 40.1456048),shop,Shengavit
1431927816,POINT (44.462324 40.1449749),shop,Shengavit
1432874046,POINT (44.4981571 40.1815006),hospital,Kentron
1432874056,POINT (44.511933 40.161071),school,Erebuni
1432874061,POINT (44.5123904 40.163311),shop,Kentron
1432902165,POINT (44.4929242 40.1987032),shop,Arabkir
1436846401,POINT (44.5166778 40.1820662),shop,Kentron
1444510838,POINT (44.5125645 40.1853645),school,Kentron
1444518479,POINT (44.51059 40.1843556),cafe,Kentron
1446278922,POINT (44.5224072 40.1540402),school,Erebuni
1454000442,POINT (44.5211273 40.14166),shop,Erebuni
1454082789,POINT (44.5213888 40.1877292),shop,Kentron
1455911123,POINT (44.5750967 40.1764694),shop,Nor-norq
1456245296,POINT (44.5329208 40.1924127),cafe,Kentron
1456245309,POINT (44.5510099 40.198349),cafe,Nor-norq
1456245329,POINT (44.5375838 40.1842748),hospital,Norq marash
1456774238,POINT (44.5166792 40.176071),shop,Kentron
1456826027,POINT (44.5289031 40.1805474),school,Kentron
1456826041,POINT (44.519119 40.190225),cafe,Kentron
1459218462,POINT (44.4619609 40.1858426),school,Malatia
1459218469,POINT (44.4609766 40.1833252),shop,Malatia
1459239548,POINT (44.4774024 40.1563006),hospital,Shengavit
1459891507,POINT (44.4989674 40.180493),cafe,Kentron
1459891509,POINT (44.4979911 40.1806243),cafe,Kentron
1461350200,POINT (44.5192201 40.1782306),shop,Kentron
1461517667,POINT (44.5106535 40.1553364),cafe,Erebuni
1462696259,POINT (44.534066 40.2216988),church,Qanaqer zeuytun
1463669943,POINT (44.5171662 40.1853264),shop,Kentron
1463696537,POINT (44.5174853 40.1855364),cafe,Kentron
1463696544,POINT (44.5172102 40.1853143),shop,Kentron
1468990547,POINT (44.5812538 40.2169382),shop,Avan
1468990553,POINT (44.5808933 40.2166783),shop,Avan
1469502718,POINT (44.4951617 40.1951866),shop,Arabkir
1472297739,POINT (44.5700365 40.2103023),shop,Avan
1474451895,POINT (44.5153948 40.1848637),cafe,Kentron
1475143235,POINT (44.524557 40.1888895),shop,Kentron
1475143242,POINT (44.5178487 40.1881253),shop,Kentron
1475143253,POINT (44.5172612 40.188254),shop,Kentron
1475143265,POINT (44.5179373 40.1877134),shop,Kentron
1475738273,POINT (44.5201635 40.1707658),shop,Kentron
1487489084,POINT (44.5414075 40.141688),school,Erebuni
1489841107,POINT (44.4639269 40.2000357),cafe,Ajapnyak
1497354056,POINT (44.5814749 40.2120043),shop,Avan
1498175757,POINT (44.5812597 40.2128151),shop,Avan
1498881800,POINT (44.5188288 40.1833882),shop,Kentron
1498881802,POINT (44.5211427 40.179573),shop,Kentron
1531946814,POINT (44.5112689 40.1774902),shop,Kentron
1531980127,POINT (44.5150153 40.1830135),shop,Kentron
1531980140,POINT (44.5078707 40.1863927),shop,Kentron
1532006674,POINT (44.5209454 40.1879914),shop,Kentron
1533867077,POINT (44.5195511 40.1417739),shop,Erebuni
1533867132,POINT (44.5159383 40.1838009),shop,Kentron
1533876313,POINT (44.4846781 40.1453863),shop,Shengavit
1535246705,POINT (44.4853544 40.1569543),shop,Shengavit
1535248727,POINT (44.4965114 40.1522539),work,Shengavit
1535256014,POINT (44.4793952 40.1543948),shop,Shengavit
1535256015,POINT (44.4786718 40.1551149),shop,Shengavit
1535799475,POINT (44.4960442 40.1518434),shop,Shengavit
1536163031,POINT (44.4851032 40.1567255),shop,Shengavit
1536164394,POINT (44.4836585 40.1547855),shop,Shengavit
1536165271,POINT (44.4792596 40.1544657),shop,Shengavit
1536176486,POINT (44.482055 40.153542),shop,Shengavit
1537880013,POINT (44.496011 40.1987494),hospital,Arabkir
1537880016,POINT (44.4940419 40.1984423),shop,Arabkir
1537880020,POINT (44.4958765 40.2006678),shop,Arabkir
1537880021,POINT (44.4960326 40.1997485),work,Arabkir
1537880061,POINT (44.4955804 40.2012028),shop,Arabkir
1537975956,POINT (44.4980092 40.1938608),shop,Arabkir
1537975957,POINT (44.4952891 40.1955377),hospital,Arabkir
